Geography,Number of eligible cases,5-year net survival,"Low 95% confidence interval, 5-year net survival","High 95% confidence interval, 5-year net survival",Age-standardized 5-year net survival,"Low 95% confidence interval, age-standardized 5-year net survival","High 95% confidence interval, age-standardized 5-year net survival"
Newfoundland and labrador,1158,15,12,17,14,12,17
Prince Edward Island,376,13,10,18,13,10,18
Nova Scotia,2529,17,15,19,17,15,18
New Brunswick,2116,15,14,17,15,13,17
Quebec,20864,17,16,17,16,16,17
Ontatrio,22767,18,17,18,17,17,18
Manitoba,2529,19,17,21,19,17,21
Saskatchewan,2064,14,13,16,14,13,16
Alberta,5392,15,14,16,15,14,16
British Colombia,8321,16,15,17,16,15,17
